add-none,1,10,20,211126,10556,0
add-yield-none,1,10,20,251821,12591,0
add-none,1,20,40,205514,5137,0
add-yield-none,1,20,40,234982,5874,0
add-none,1,40,80,151419,1892,0
add-yield-none,1,40,80,221653,2770,0
add-none,1,80,160,204488,1278,0
add-yield-none,1,80,160,277778,1736,0
add-none,1,100,200,157051,785,0
add-yield-none,1,100,200,287293,1436,0
add-none,1,1000,2000,210824,105,0
add-yield-none,1,1000,2000,1846511,923,0
add-none,1,10000,20000,224748,11,0
add-yield-none,1,10000,20000,16222280,811,0
add-none,1,100000,200000,1289039,6,0
add-yield-none,1,100000,200000,153294533,766,0
add-none,2,10,40,201036,5025,0
add-yield-none,2,10,40,203518,5087,0
add-none,2,20,80,191450,2393,0
add-yield-none,2,20,80,193678,2420,0
add-none,2,40,160,188222,1176,0
add-yield-none,2,40,160,262830,1642,1
add-none,2,80,320,191107,597,0
add-yield-none,2,80,320,333220,1041,0
add-none,2,100,400,135415,338,0
add-yield-none,2,100,400,299814,749,1
add-none,2,1000,4000,251937,62,12
add-yield-none,2,1000,4000,2016754,504,0
add-none,2,10000,40000,705989,17,96
add-yield-none,2,10000,40000,18613560,465,0
add-none,2,100000,400000,6116552,15,1156
add-yield-none,2,100000,400000,180751312,451,6
add-none,4,10,80,221715,2771,0
add-yield-none,4,10,80,253090,3163,0
add-none,4,20,160,228704,1429,0
add-yield-none,4,20,160,257961,1612,1
add-none,4,40,320,217534,679,0
add-yield-none,4,40,320,293037,915,2
add-none,4,80,640,224133,350,0
add-yield-none,4,80,640,475082,742,2
add-none,4,100,800,201353,251,0
add-yield-none,4,100,800,416926,521,3
add-none,4,1000,8000,226746,28,0
add-yield-none,4,1000,8000,2133352,266,7
add-none,4,10000,80000,1568863,19,421
add-yield-none,4,10000,80000,18996443,237,33
add-none,4,100000,800000,15229455,19,4226
add-yield-none,4,100000,800000,183075020,228,204
add-none,8,10,160,359193,2244,0
add-yield-none,8,10,160,356864,2230,3
add-none,8,20,320,340900,1065,0
add-yield-none,8,20,320,395774,1236,3
add-none,8,40,640,343698,537,0
add-yield-none,8,40,640,384783,601,3
add-none,8,80,1280,336685,263,0
add-yield-none,8,80,1280,465252,363,4
add-none,8,100,1600,355565,222,0
add-yield-none,8,100,1600,520599,325,2
add-none,8,1000,16000,357180,22,2
add-yield-none,8,1000,16000,2277268,142,7
add-none,8,10000,160000,4135975,25,602
add-yield-none,8,10000,160000,21064140,131,118
add-none,8,100000,1600000,40380279,25,5610
add-yield-none,8,100000,1600000,209393083,130,957
add-none,12,10,240,509347,2122,1
add-yield-none,12,10,240,482062,2008,2
add-none,12,20,480,514681,1072,0
add-yield-none,12,20,480,525524,1094,2
add-none,12,40,960,534155,556,0
add-yield-none,12,40,960,522485,544,5
add-none,12,80,1920,507317,264,0
add-yield-none,12,80,1920,569009,296,2
add-none,12,100,2400,480466,200,0
add-yield-none,12,100,2400,562163,234,5
add-none,12,1000,24000,749172,31,92
add-yield-none,12,1000,24000,2819581,117,11
add-none,12,10000,240000,6343103,26,551
add-yield-none,12,10000,240000,26437023,110,155
add-none,12,100000,2400000,61031364,25,5446
add-yield-none,12,100000,2400000,261574573,108,1550
add-yield-m,2,10,40,168937,4223,0
add-yield-c,2,10,40,197010,4925,0
add-yield-m,2,100,400,737436,1843,0
add-yield-c,2,100,400,471421,1178,0
add-yield-m,2,1000,4000,5616574,1404,0
add-yield-c,2,1000,4000,3562425,890,0
add-yield-m,2,10000,40000,50040011,1251,0
add-yield-c,2,10000,40000,35975735,899,0
add-yield-m,4,10,80,331928,4149,0
add-yield-c,4,10,80,213759,2671,0
add-yield-m,4,100,800,1475657,1844,0
add-yield-c,4,100,800,887934,1109,0
add-yield-m,4,1000,8000,13221708,1652,0
add-yield-c,4,1000,8000,7720509,965,0
add-yield-m,4,10000,80000,133031901,1662,0
add-yield-c,4,10000,80000,71914303,898,0
add-yield-m,8,10,160,524760,3279,0
add-yield-c,8,10,160,329188,2057,0
add-yield-m,8,100,1600,2854236,1783,0
add-yield-c,8,100,1600,1793098,1120,0
add-yield-m,8,1000,16000,27891808,1743,0
add-yield-c,8,1000,16000,15682049,980,0
add-yield-m,8,10000,160000,279476443,1746,0
add-yield-c,8,10000,160000,163286262,1020,0
add-yield-m,12,10,240,656899,2737,0
add-yield-c,12,10,240,447438,1864,0
add-yield-m,12,100,2400,4567314,1903,0
add-yield-c,12,100,2400,2756806,1148,0
add-yield-m,12,1000,24000,42806006,1783,0
add-yield-c,12,1000,24000,27734560,1155,0
